Former firm,New firm,New job title,Team (IMP defined),Seniority (IMP defined)
BlueCove Limited,Ares Management Corporation,"Managing Director, Ares Systematic Credit",Quant/data science,Managing Director
BlueCove Limited,Ares Management Corporation,"Head of Engineering, Ares Systematic Credit",Tech,Senior Managing Director
BlueCove Limited,Ares Management Corporation,"Head of Systems Engineering, Ares Systematic Credit",Quant/data science,Senior Managing Director
BlueCove Limited,Ares Management Corporation,"Managing Director, Investment Operations, Ares Systematic Credit",Ops,Managing Director
BlueCove Limited,Ares Management Corporation,"Managing Director, Systematic Credit",Business development,Managing Director
BlueCove Limited,Ares Management Corporation,"Head of Systematic Credit Research, Ares Systematic Credit",Quant/data science,Senior Managing Director
BlueCove Limited,Ares Management Corporation,"Head of Portfolio Management, Ares Systematic Credit",Portfolio operations,Senior Managing Director
BMO,New York Life Insurance Company," Senior Vice President and Chief Operating Officer – Technology, Data, AI and Ventures",Allocation,C-level
BNP Paribas,Golub Capital,"Managing Director, Securitization Capital Markets",Investment team,Managing Director
BNY Mellon,Blue Owl Capital,Head of Talent Development,Strategy,Senior Managing Director
bp,Rolls-Royce Pension Fund,Global Head of Government Relations & Chief Sustainability Officer,Allocation,Senior Managing Director
Bridgepoint Group,IFM Investors,Board member,Strategy,Advisor
Brookfield Asset Management,EQT Group,Managing Director,Investment team,Managing Director
Brookfield Asset Management,Bain Capital,Partner,Investment team,Partner
Bruellan Group,Syz Group,Head of Equities,Allocation,Senior Managing Director
Canada Pension Plan Investment Board,Public Sector Pension Investment Board,Managing Director and Global Head of Infrastructure Investments,Allocation,Managing Director
Capstone Investment Advisors,The Carlyle Group,Head of Data Transformation,Tech,Managing Director
Centerbridge Partners,Starwood Capital Group,"SMD, Head of U.S. Asset Management",Asset Management,Senior Managing Director
Chambre régionale des comptes Centre-Val de Loire,Etablissement de Retraite Additionnelle de la Fonction Publique,"Deputy Director, Administrative and Operations Director ",Allocation,Director/Principal
Citi,"Apollo Global Management, Inc.",Partner,Strategy,Partner
Clarivate,KKR,Executive Advisor,Strategy,Advisor
Cleveland Clinic Foundation,University of North Carolina at Chapel Hill ,"Chief Executive Officer, and Chief Investment Officer",Allocation,C-level
Coforge,Brookfield ,Senior Advisor,Strategy,Advisor
Compound,Aprio Wealth Management ,Chief Compliance Officer,Allocation,C-level
CoreAI Advisory LLC,"Apollo Global Management, Inc.",Global Head of Quantitative Analytics,Quant/data science,Senior Managing Director
Cortland,EQT Group,Managing Director,Business development,Managing Director
Crédit Agricole CIB,CVC Credit,Managing Director,Investment team,Managing Director
Danaher Corporation,Marathon Petroleum Corporation,Executive Vice President and Chief Financial Officer,Allocation,C-level
Deloitte,Partners Group,Head of Treasury Operations,Ops,Senior Managing Director
Deutsche Bank,"Apollo Global Management, Inc.","Japan CPM, Managing Director",Structuring,Managing Director
Deutsche Bank,"Apollo Global Management, Inc.","Head of APAC, Global Family Office",Business development,Managing Director
Deutsche Bank,DWS Group,"Managing Director, Private Credit / Asset Based Lending",Investment team,Managing Director
DWS Group,PGIM,"Managing Director, Real Estate Business Development, Head of U.S. East Region & Canada",Business development,Senior Managing Director
DWS Infrastructure,DWS Group,Partner DWS Infrastructure Equity,Investment team,Partner
Electronic Arts (EA),Ares Management Corporation,Managing Director - Corporate Strategy,Strategy,Managing Director
Electronic Arts (EA),Nexon,Executive Chairman,Allocation,Advisor
Elite Technology,TPG,Senior Advisor,HR,Advisor
Employees’ Retirement System of the State of Hawaii,New Mexico State Investment Council ,Chief Investment Officer,Allocation,C-level
EY,Ares Management Corporation,"Senior Advisor, Private Equity",Strategy,Advisor
EY,Blackstone,Managing Director - Head of Legal & Compliance Operations,Legal,Managing Director
Fair Oaks Capital,Golub Capital,"Managing Director, European BSL",Investment team,Managing Director
Fidelity International ,Healthcare of Ontario Pension Plan,Senior Managing Director - Head of Global Infrastructure,Allocation,Senior Managing Director
Fonterra Group,Elders ,Chief Executive Officer,Allocation,C-level
Fox May Consulting Limited,ICG,Head of Credit & CLO Operations,Ops,Senior Managing Director
GE,IFM Investors,Senior Advisor,Strategy,Advisor
GE Vernova,EQT Group,Advisor,Strategy,Advisor
GLP Capital Partners (GCP),Blue Owl Capital,"Managing Director, Real Assets",Accounting,Managing Director
Goldman Sachs,The Carlyle Group,"Partner, Deputy CIO of Global Credit and Head of Direct Lending",Investment team,Partner
Goldman Sachs,The Carlyle Group,"CEO, Partner, Deputy CIO of Global Credit and Head of Direct Lending",Investment team,Partner
Goldman Sachs,"Apollo Global Management, Inc.","Managing Director, Cross-Asset CPM",Business development,Managing Director
Goldman Sachs,Ares Management Corporation,Managing Director - Head of Client Platforms,Tech,Managing Director
Goldman Sachs,Brookfield,"Head of Origination, SouthEast Portfolio Manager",Investment team,Senior Managing Director
Goldman Sachs,Bain Capital,Managing Director,Investment team,Managing Director
Goldman Sachs Asset Management,KKR,Managing Director,Portfolio operations,Managing Director
Greater Manchester Pension Fund,LGPS Central,Investment Director for Local Investment,Allocation,Director/Principal
Grinnell College Endowment,Children's Health ,Executive Vice President and Chief Investment Officer,Allocation,C-level
Grosvenor,ICG,"Non Executive Director, Board member",Strategy,Advisor
GTIS Partners,Blackstone,Managing Director,Investment team,Managing Director
HDFC Bank,Bain Capital,Managing Director,Strategy,Managing Director
Heitman,Barings,"Managing Director, Country Head Germany",Investment team,Managing Director
Hg,Permira,Chief Compliance Officer (CCO),Compliance,C-level
Hines,Barings,Head of Equity Portfolio Management - Europe Real Estate,Investment team,Senior Managing Director
Hines,Blackstone,"Managing Director, Private Wealth",Business development,Managing Director
Hogarth Davies Lloyd,TPG,Managing Director,,Managing Director
Howden,Marsh & McLennan Companies,Chief Growth and Strategy Officer,Allocation,C-level
HPS Investment Partners | BlackRock,"Oaktree Capital Management, L.P.","Managing Director, Sourcing & Origination",Investment team,Managing Director
HSBC,Prudential ,Non-Executive Director and Chair-designate,Allocation,Advisor
IGM Financial,Power Corporation of Canada,President and Chief Executive Officer,Allocation,C-level
Infranode,ICG,Managing Director,Investment team,Managing Director
JPMorgan Chase,Truist Financial Corporation,Managing Director and Head of Structured Credit,Allocation,Managing Director
KIRKBI A/S,Blackstone,Senior Advisor,Business development,Advisor
KKR,CVC,"Managing Director (Sports, Media & Entertainment)",Investment team,Managing Director
KKR,Blue Owl Capital,Managing Director,Investment team,Managing Director
KKR,The Carlyle Group,Deputy Head of Asset-Backed Finance,Investment team,Senior Managing Director
KKR & Global Atlantic,Brookfield ,"Managing Director, Head of National Accounts & Business Development",Business development,Managing Director
L&G – Asset Management,KKR,"Managing Director, Global Wealth Solutions - International",Business development,Managing Director
Legal & General Investment Management (LGIM),"Apollo Global Management, Inc.","Managing Director, UK Defined Contribution",Business development,Managing Director
LGT Private Banking,EFG International,Chief Investment Officer,Allocation,C-level
Lippincott,Blue Owl Capital,"Managing Director, Head of Corporate Marketing",Marketing,Managing Director
London Borough of Islington,London Pensions Fund Authority,Director of Finance and Corporate Resources,Allocation,Director/Principal
London Borough of Islington Pension Fund,London Pensions Fund Authority,Director of Finance and Corporate Resources,Allocation,Director/Principal
LPL Financial,Mercer Advisors,"SVP, Investment Platform Operations",Allocation,SVP
Lynx Asset Management,AP-Fonden 3,Head of Portfolio Strategy and Sustainability,Allocation,Senior Managing Director
Macquarie Group,Ares Management Corporation,"Managing Director, Chief Accounting Officer, Secondaries",Accounting,C-level
Marks and Spencer,Bain Capital,Operating Partner,Portfolio operations,Senior Managing Director
Merit Financial Advisors,Americana Partners,Chief Financial Officer,Allocation,C-level
Metro Bank,Hodge Bank,Chief Executive Officer,Allocation,C-level
Milk Makeup,Blackstone,Senior Managing Director and Operating Partner,Strategy,Senior Managing Director
Mint Asset Management,Fisher Funds,Head of Responsible Investment,Allocation,Senior Managing Director
Moody's Ratings,"HPS Investment Partners, LLC",Senior Advisor and Operating Partner,Strategy,Advisor
Moonfare,ICG,Global Product Development Director,IR (non-capital raising),Director/Principal
Morgan Stanley,Blackstone,"Managing Director, Institutional Client Solutions Group",Business development,Managing Director
Natixis CIB Americas,"Apollo Global Management, Inc.","Head of Futures, Clearing, Collateral Management & Client Services",Ops,Senior Managing Director
Natixis Investment Managers,"Oaktree Capital Management, L.P.",Managing Director - Capital Formation EMEA,Business development,Managing Director
Neuberger Berman,KKR,"Managing Director,  Head of Investment Implementation",Ops,Managing Director
New Zealand Superannuation Fund,Mercer (N.Z.),Chief Investment Officer,Allocation,C-level
Newark Alliance,New Jersey Economic Development Authority,Chief Executive Officer,Allocation,C-level
Nobian,The Carlyle Group,Senior Financial Advisor,Strategy,Advisor
Northeastern University,University of Connecticut Foundation,Chief Financial Officer,Allocation,C-level
Novartis,TPG,Senior Advisor,Strategy,Advisor
NW Technology GmbH,"Apollo Global Management, Inc.",Advisor,Strategy,Advisor
"Oaktree Capital Management, L.P.",Ares Management Corporation,"Managing Director, Head of Australia & New Zealand, Relationship Management APAC",IR (non-capital raising),Managing Director
"Oaktree Capital Management, L.P.",The Carlyle Group,Managing Director,IR (non-capital raising),Managing Director
OCTAVE Capital,"Apollo Global Management, Inc.",Managing Director - Apollo Portfolio Performance Solutions,Ops,Managing Director
Penfund,Blue Owl Capital,"Managing Director, Direct Lending",Investment team,Managing Director
Peraton,L3Harris Technologies ,Chief Financial Officer,Allocation,C-level
Permira Credit,"Oaktree Capital Management, L.P.",Senior Advisor,Strategy,Advisor
Perpetual Limited,HarbourVest Partners,Head of Marketing for Global Private Wealth,Business development,Senior Managing Director
PIMCO,HarbourVest Partners,"Head of Marketing, Asia Pacific",Marketing,Senior Managing Director
PineBridge Investments,ICG,Global Head of Insurance,Investment team,Senior Managing Director
Pinegrove Venture Partners,"Apollo Global Management, Inc.","Operating Partner, Head of Data, Digital, & AI",Tech,Partner
Point72 Ventures,"Apollo Global Management, Inc.",Managing Director,Investment team,Managing Director
Point72 Ventures,"Apollo Global Management, Inc.",Managing Director,Tech,Managing Director
Premier Inc.,Charles River Laboratories ,Corporate Executive Vice President and Chief Financial Officer,Allocation,C-level
PrimeMovers Equity,TPG,Senior Advisor,Strategy,Advisor
Proprium Capital Partners,Legal and General Group,Global Co-Head of Real Assets,Allocation,Senior Managing Director
Proprium Capital Partners,Legal and General Group,Global Co-Head of Real Assets,Allocation,Senior Managing Director
Pure Data Centres Group,Ares Management Corporation,"Partner and Chief Investment Officer, Digital Infrastructure",Investment team,C-level
PwC,Blackstone,Managing Director,Accounting,Managing Director
Reqtest,EQT Group,Treasury Advisory,Accounting,Advisor
ResiXperts,"Apollo Global Management, Inc.","Managing Director, Portfolio Value Creation & Operations",Portfolio operations,Managing Director
Russell Reynolds Associates,KKR,Executive Advisor,Strategy,Advisor
SAP,TPG,Advisor,Strategy,Advisor
SAP,Blackstone,Senior Advisor,Strategy,Advisor
SAP,DWS Group,Managing Director,Tech,Managing Director
SAP Korea,Warburg Pincus LLC,Senior Advisor,Strategy,Advisor
Savills Investment Management,DWS Group,"Managing Director, Head of Coverage EMEA Real Estate",Business development,Managing Director
Stealth Startup,Warburg Pincus LLC,Managing Director,Tech,Managing Director
Steele Consulting,MUFG ,"Managing Director, Global Financial Solutions, EMEA",Allocation,Managing Director
Stockperks,Warburg Pincus LLC,"Senior Advisor, AI",Tech,Advisor
Sundyne,Warburg Pincus LLC,Senior Advisor,Investment team,Advisor
Swiss Re,Peak Reinsurance,Chief Executive Officer,Allocation,C-level
TD,KKR,Portfolio CIO,Tech,Advisor
Tesco Pension Investment,London CIV,Chief Operating Officer,Allocation,C-level
The Living Company,DWS Group,"Head of Real Estate, Australia",Investment team,Senior Managing Director
The TCW Group,"Oaktree Capital Management, L.P.",Managing Director - Capital Formation,Business development,Managing Director
THL Partners,KKR,Executive Advisor,Strategy,Advisor
Thoma Bravo,Blackstone,GTM Operating Advisor,Strategy,Advisor
Thoma Bravo,KKR,GTM Operating Advisor,Strategy,Advisor
Tribe Impact Capital ,Cazenove Capital Management ,Portfolio Director,Allocation,Director/Principal
Truist,The Carlyle Group,Managing Director Asset Backed Finance,Strategy,Managing Director
UBS,"Apollo Global Management, Inc.","Managing Director, New Markets",Business development,Managing Director
UBS,JPMorgan Chase,Head of International Real Estate Investment Banking,Allocation,Senior Managing Director
UBS,Citigroup,"Managing Director and ASEAN Head of Real Estate, Investment Banking",Allocation,Managing Director
UBS,Blackstone,Head of EMEA for Private Wealth at Blackstone,Business development,Senior Managing Director
UBS O’Connor,KKR,Managing Director,Investment team,Managing Director
Union Bancaire Privée,Nedbank,Head of Private Banking for the Isle of Man,Allocation,Senior Managing Director
USA Health,TidalHealth,Chief Financial Officer,Allocation,C-level
UWC South East Asia,Farro Capital,Head of Impact and Sustainable Finance,Allocation,Senior Managing Director
Värde Partners,DWS Group,Head of Asset Based Finance,Investment team,Senior Managing Director
Varian,TPG,Senior Advisor,Strategy,Advisor
Victorian Funds Management Corporation (VFMC),Mason Stevens,Chief Investment Officer,Allocation,C-level
Virgin Money,OakNorth,Chief Financial Officer,Allocation,C-level
Warburg Pincus LLC,"Apollo Global Management, Inc.",Managing Director,Tech,Managing Director
Wellington Management Company,HarbourVest Partners,Chief Technology Officer,Tech,C-level
Wells Fargo,Blackstone,Head of Social Media,Marketing,Senior Managing Director
Woolworths Group,TPG,Senior Advisor - Operations,Ops,Advisor
WTW,IFM Investors,Global Head of Investment Research,Investment team,Senior Managing Director
You.com,Blackstone,"Managing Director, Technology/AI",Tech,Managing Director
,TPG,Strategic Advisor,Strategy,Advisor
